model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
ridge,1.0,0,0.08764093151014951,0.07234149002574042,0.08204409684221547,256787,256787,lag_bins=0
ridge,0.5,0,0.0458031617943111,0.04226067742304118,0.04450725178609649,120919,256787,lag_bins=0
ridge,0.25,0,0.025382374822132125,0.022012591054546227,0.024149642069561716,56316,256787,lag_bins=0
ridge,0.1,0,0.01002512752176321,0.01109058619375869,0.010414893124563118,32868,256787,lag_bins=0
ridge,1.0,1,0.08764093151014951,0.07234149002574042,0.08204409684221547,256787,256787,lag_bins=0
ridge,0.5,1,0.0458031617943111,0.04226067742304118,0.04450725178609649,120919,256787,lag_bins=0
ridge,0.25,1,0.025382374822132125,0.022012591054546227,0.024149642069561716,56316,256787,lag_bins=0
ridge,0.1,1,0.01002512752176321,0.01109058619375869,0.010414893124563118,32868,256787,lag_bins=0
ridge,1.0,2,0.08764093151014951,0.07234149002574042,0.08204409684221547,256787,256787,lag_bins=0
ridge,0.5,2,0.0458031617943111,0.04226067742304118,0.04450725178609649,120919,256787,lag_bins=0
ridge,0.25,2,0.025382374822132125,0.022012591054546227,0.024149642069561716,56316,256787,lag_bins=0
ridge,0.1,2,0.01002512752176321,0.01109058619375869,0.010414893124563118,32868,256787,lag_bins=0
