model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
snn,1.0,0,0.14036605108478462,0.13580023181845047,0.13866544182893292,256787,256787,
snn,0.5,0,0.06950834264228756,0.03734184362930859,0.05752743784538461,125107,256787,
snn,0.25,0,0.03367313922215864,-1.9016062621002305e-05,0.021123980399915032,59324,256787,
snn,0.1,0,-1.0341544978809125e-05,-0.00027306729536658025,-0.00010819777116699569,21204,256787,
snn,1.0,1,0.13960154220150445,0.12435567751095589,0.13392298659213497,256787,256787,
snn,0.5,1,0.06950834264228756,0.03734184362930859,0.05752743784538461,125107,256787,
snn,0.25,1,0.037663938527655705,0.0006548382741671244,0.02387933279306287,59324,256787,
snn,0.1,1,-0.00020821650450386642,-0.00063032000485852,-0.00036543541260303236,21204,256787,
snn,1.0,2,0.13960154220150445,0.12435567751095589,0.13392298659213497,256787,256787,
snn,0.5,2,0.08445602843788558,0.044314089031305515,0.06950454881931634,125107,256787,
snn,0.25,2,0.037663938527655705,0.0006548382741671244,0.02387933279306287,59324,256787,
snn,0.1,2,-1.0326743541622108e-05,-0.00027773192637270405,-0.00010992589595182345,21204,256787,
