model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
ridge_causal,1.0,0,0.049783250582537075,0.02904567958106874,0.042059224918837845,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,0,0.03857953148334203,0.010930733209419508,0.028281313460454816,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,1,0.049783250582537075,0.02904567958106874,0.042059224918837845,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,1,0.026318193670280432,0.00955372260638665,0.02007400987813379,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,2,0.049783250582537075,0.02904567958106874,0.042059224918837845,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,2,0.04190575046539413,0.009786206366347527,0.029942334744729848,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,0,0.10007466828861888,0.06027646563068456,0.08525121868223895,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,0,0.0779876679256617,0.04369707046250981,0.0652156101562048,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,1,0.10007466828861888,0.06027646563068456,0.08525121868223895,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,1,0.06086983753150543,0.04944200034100743,0.05661336469128064,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,2,0.10007466828861888,0.06027646563068456,0.08525121868223895,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,2,0.05476667640396493,0.04218519547298638,0.05008051129854629,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,0,0.1269797996656895,0.08704975532936132,0.11210724360863678,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,0,0.09494739062568902,0.06810521273719827,0.08494961070895701,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,1,0.1269797996656895,0.08704975532936132,0.11210724360863678,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,1,0.08785427937039414,0.07546756867850335,0.08324065942106607,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,2,0.1269797996656895,0.08704975532936132,0.11210724360863678,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,2,0.08319457792791407,0.07330042114126978,0.07950934782380525,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,0,0.15325958027366482,0.12365236965223825,0.14223192160263443,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,0,0.12271702229708448,0.10851869476395581,0.1174286379323134,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,1,0.15325958027366482,0.12365236965223825,0.14223192160263443,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,1,0.11772646737938697,0.11132678891367631,0.11534280920143192,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,2,0.15325958027366482,0.12365236965223825,0.14223192160263443,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,2,0.10859988709671409,0.10455143264835687,0.1070919782844808,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,0,0.16924069146231258,0.1616925031780453,0.16642925322694802,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,0,0.13731282966662095,0.13709197074099377,0.1372305673799974,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,1,0.16924069146231258,0.1616925031780453,0.16642925322694802,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,1,0.13150531948103505,0.12058109893396007,0.1274364263664296,,,reservoir SNN on causally-truncated events
ridge_causal,1.0,2,0.16924069146231258,0.1616925031780453,0.16642925322694802,,,single-bin ridge on causally-truncated counts
snn_causal,1.0,2,0.14190147540318565,0.12681856742118736,0.13628361551362,,,reservoir SNN on causally-truncated events
