model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_b20,1.0,0,0.33448108540564125,0.3138263332778456,0.326925173453938,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.5,0,0.19686309998359852,0.18556644732748995,0.19273056368926722,120919,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.25,0,0.0953752533427239,0.12914361936737984,0.10772838151664288,56316,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.1,0,0.05040978649509886,0.06833064588517368,0.05696558705917509,32868,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,1.0,1,0.34258925793937567,0.32011433381128274,0.33436749150120326,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.5,1,0.1950705412985132,0.1960709616016636,0.19543651459504707,120919,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.25,1,0.09108315629757102,0.13146780128321633,0.10585664860696009,56316,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.1,1,0.049674654185346334,0.06826684357576174,0.056476040382294146,32868,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,1.0,2,0.33237598856965056,0.31979843373348704,0.3277748732271972,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.5,2,0.19736182949051528,0.1886494582008319,0.19417467382057108,120919,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.25,2,0.09682968784581902,0.13113891459976623,0.10938067344370395,56316,256787,BPTT + fast-sigmoid surrogate
trained_snn_b20,0.1,2,0.04791213629537716,0.06864211588836444,0.055495567923899536,32868,256787,BPTT + fast-sigmoid surrogate
