knob,value,seed,event_budget,r2_vx,r2_vy,r2_joint,r2_joint_ci_lo,r2_joint_ci_hi,best_val_r2,param_hidden_dim,param_tau_ms,param_threshold,param_k_history
tau_ms,5.0,0,1.0,0.5254856237592518,0.5130101227209654,0.5208389324866622,0.49359790520505614,0.5431974303600059,0.5101699829101562,256,5.0,0.3,4
tau_ms,5.0,1,1.0,0.530344166754478,0.5232931097961886,0.5277178926890065,0.5011169490166955,0.555098289151935,0.50693678855896,256,5.0,0.3,4
tau_ms,5.0,2,1.0,0.5371402460691306,0.5235372303251105,0.5320735946901878,0.5041382795590952,0.5526383177995282,0.5086216926574707,256,5.0,0.3,4
tau_ms,10.0,0,1.0,0.542417336417605,0.5429136159446047,0.5426021833219336,0.5169112737963366,0.5647586567918014,0.5281202793121338,256,10.0,0.3,4
tau_ms,10.0,1,1.0,0.5375645300590727,0.5486004194490248,0.5416750159430608,0.5158986926159764,0.5693923762201687,0.5240849256515503,256,10.0,0.3,4
tau_ms,10.0,2,1.0,0.5460976292629001,0.5480712130630856,0.5468327207507611,0.5204394403510759,0.5694037215457957,0.5302666425704956,256,10.0,0.3,4
tau_ms,20.0,0,1.0,0.552692242585558,0.5458733844265108,0.5501524545161705,0.5207365022838703,0.572965282994754,0.5531324744224548,256,20.0,0.3,4
tau_ms,20.0,1,1.0,0.5728113200709095,0.5435726278829014,0.5619209217297929,0.5373816326450718,0.588589923993062,0.5586201548576355,256,20.0,0.3,4
tau_ms,20.0,2,1.0,0.567689945959071,0.5705143115375912,0.5687419241396696,0.5445140986922486,0.5914399015371032,0.554537832736969,256,20.0,0.3,4
tau_ms,40.0,0,1.0,0.5879135575973929,0.5886607722539369,0.5881918691307461,0.5588666146534133,0.6110365998876357,0.5813052654266357,256,40.0,0.3,4
tau_ms,40.0,1,1.0,0.58847197665512,0.5895057629250063,0.5888570261712285,0.5654864036184631,0.6139451551465859,0.583937406539917,256,40.0,0.3,4
tau_ms,40.0,2,1.0,0.5882847154419082,0.5881459005757148,0.5882330117207296,0.5636830590554693,0.6091029763818294,0.5790131688117981,256,40.0,0.3,4
threshold,0.15,0,1.0,0.5343259999459202,0.5458770954170906,0.5386283822189861,0.5114798980825503,0.5600137317385635,0.5257407426834106,256,10.0,0.15,4
threshold,0.15,1,1.0,0.5369316438669574,0.5456406140870567,0.5401754330976092,0.5150073440904601,0.5645339526808159,0.5283375382423401,256,10.0,0.15,4
threshold,0.15,2,1.0,0.5379660769894139,0.5512417462627993,0.5429108031660308,0.5186612700386005,0.5635735857225742,0.5279967784881592,256,10.0,0.15,4
threshold,0.3,0,1.0,0.542417336417605,0.5429136159446047,0.5426021833219336,0.5169112737963366,0.5647586567918014,0.5281202793121338,256,10.0,0.3,4
threshold,0.3,1,1.0,0.5375645300590727,0.5486004194490248,0.5416750159430608,0.5158986926159764,0.5693923762201687,0.5240849256515503,256,10.0,0.3,4
threshold,0.3,2,1.0,0.5460976292629001,0.5480712130630856,0.5468327207507611,0.5204394403510759,0.5694037215457957,0.5302666425704956,256,10.0,0.3,4
threshold,0.5,0,1.0,0.5395764888116202,0.5520788889409389,0.544233199062298,0.5176404860936705,0.5665278107120346,0.529425859451294,256,10.0,0.5,4
threshold,0.5,1,1.0,0.5407679661357406,0.5451675178752479,0.5424066465068564,0.5142101902250412,0.5724406868656998,0.5276318788528442,256,10.0,0.5,4
threshold,0.5,2,1.0,0.5325524779294204,0.5374252899228953,0.5343674313243632,0.5064730542999274,0.5561776738456835,0.5291230082511902,256,10.0,0.5,4
threshold,0.8,0,1.0,0.5247573015262641,0.5376330443264264,0.5295530689679091,0.5010711782002434,0.5528453815465212,0.5174275636672974,256,10.0,0.8,4
threshold,0.8,1,1.0,0.532421524332722,0.5484868908849176,0.5384053159511863,0.5096326627341219,0.5703884671786973,0.5191527605056763,256,10.0,0.8,4
threshold,0.8,2,1.0,0.5332176941954376,0.5417683629091581,0.5364025216075724,0.5071707490603212,0.5583383521636692,0.5220931768417358,256,10.0,0.8,4
k_history,0,0,1.0,0.2010739586262167,0.17445714072570917,0.19116011748566197,0.1597937895549846,0.21712178059934242,0.2083193063735962,256,10.0,0.3,0
k_history,0,1,1.0,0.20328373637787145,0.1647834286810187,0.1889437076112549,0.15783366228082976,0.2171945247127815,0.2102317214012146,256,10.0,0.3,0
k_history,0,2,1.0,0.20086746790574883,0.16730342502676432,0.18836602650953016,0.1579411272242862,0.21406596212919893,0.20714008808135986,256,10.0,0.3,0
k_history,2,0,1.0,0.41117182897920757,0.40865485161548565,0.41023434224313016,0.38243217611266483,0.4366933460460395,0.4285011887550354,256,10.0,0.3,2
k_history,2,1,1.0,0.42189903463477363,0.40880239858943734,0.4170209921236645,0.38626859800605756,0.4462478040763992,0.42601388692855835,256,10.0,0.3,2
k_history,2,2,1.0,0.4204175711051037,0.40443696161687226,0.41446534855213857,0.38418586969845764,0.4414793221693718,0.429487943649292,256,10.0,0.3,2
k_history,4,0,1.0,0.542417336417605,0.5429136159446047,0.5426021833219336,0.5169112737963366,0.5647586567918014,0.5281202793121338,256,10.0,0.3,4
k_history,4,1,1.0,0.5375645300590727,0.5486004194490248,0.5416750159430608,0.5158986926159764,0.5693923762201687,0.5240849256515503,256,10.0,0.3,4
k_history,4,2,1.0,0.5460976292629001,0.5480712130630856,0.5468327207507611,0.5204394403510759,0.5694037215457957,0.5302666425704956,256,10.0,0.3,4
k_history,8,0,1.0,0.5105569913062271,0.559293742950462,0.5287097402679428,0.507399880482414,0.5529441308327133,0.45889919996261597,256,10.0,0.3,8
k_history,8,1,1.0,0.5351657814020333,0.5680728648579345,0.5474225282077647,0.5187757420147486,0.5748887943386655,0.4669567942619324,256,10.0,0.3,8
k_history,8,2,1.0,0.5029301182162073,0.5519926831983094,0.5212042213414885,0.4938105939751477,0.5422138338398883,0.45261555910110474,256,10.0,0.3,8
