model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
snn_shuffle,1.0,0,0.44271953330190006,0.44937440820578767,0.4451982432984902,256787,256787,within-bin order permuted
snn_shuffle,0.5,0,0.4145438921919198,0.43489677098069446,0.4221246333541092,125107,256787,within-bin order permuted
snn_shuffle,0.25,0,0.2547005838673474,0.22302813394099552,0.24290369521312405,59324,256787,within-bin order permuted
snn_shuffle,0.1,0,0.1250385305185071,0.11896600570646587,0.12277672572524867,21204,256787,within-bin order permuted
snn_shuffle,1.0,1,0.4730867573068377,0.47103278915785596,0.47232172543815687,256787,256787,within-bin order permuted
snn_shuffle,0.5,1,0.43358429817189514,0.4505269938414508,0.4398948644457673,125107,256787,within-bin order permuted
snn_shuffle,0.25,1,0.2666668917605628,0.26852834221501565,0.26736021746784455,59324,256787,within-bin order permuted
snn_shuffle,0.1,1,0.2190949812413433,0.11976031523822306,0.18209626478372276,21204,256787,within-bin order permuted
snn_shuffle,1.0,2,0.4374619225461729,0.41183887324401325,0.4279182257275772,256787,256787,within-bin order permuted
snn_shuffle,0.5,2,0.4662918443322822,0.35745415775051503,0.42575358243672523,125107,256787,within-bin order permuted
snn_shuffle,0.25,2,0.26050382086463597,0.26833381167204184,0.2634202207621289,59324,256787,within-bin order permuted
snn_shuffle,0.1,2,0.19089149127762228,0.13675843303671242,0.17072880534503587,21204,256787,within-bin order permuted
