model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
snn,1.0,0,0.6230053522623356,0.6608773488769475,0.6371113569514133,256787,256787,
snn,0.5,0,0.4918395835474736,0.4903763451829355,0.4912945780268655,125107,256787,
snn,0.25,0,0.3587987949423985,0.3202566075273585,0.3444431674338635,59324,256787,
snn,0.1,0,0.19858618740768808,0.15263444171345808,0.1814707565306155,21204,256787,
snn,1.0,1,0.6243773281247991,0.6603998699606912,0.6377944750795901,256787,256787,
snn,0.5,1,0.47886352693168355,0.4945705440932763,0.4847138458358463,125107,256787,
snn,0.25,1,0.3587987949423985,0.3202566075273585,0.3444431674338635,59324,256787,
snn,0.1,1,0.19858618740768808,0.15263444171345808,0.1814707565306155,21204,256787,
snn,1.0,2,0.6243773281247991,0.6603998699606912,0.6377944750795901,256787,256787,
snn,0.5,2,0.4770380819997001,0.5046998754285984,0.487341140266921,125107,256787,
snn,0.25,2,0.3494510040394203,0.2942014125210505,0.32887244820148853,59324,256787,
snn,0.1,2,0.17313280761067784,0.15570953567400703,0.16664324335192604,21204,256787,
