model,k_bins,seed,r2_joint
ridge,0,0,0.16654644682667075
reservoir_snn,0,0,0.1545900507237823
ridge_hist,2,0,0.376813748625781
reservoir_snn,2,0,0.36333554670135737
ridge_hist,4,0,0.5265523687918182
reservoir_snn,4,0,0.5198929731275348
ridge_hist,8,0,0.5803291753589419
reservoir_snn,8,0,0.5964731507704732
ridge_hist,12,0,0.6020341279062681
reservoir_snn,12,0,0.611735889735957
ridge_hist,16,0,0.6108219592916517
reservoir_snn,16,0,0.6159172958897401
ridge_hist,20,0,0.6191757403129212
reservoir_snn,20,0,0.6197528458604113
ridge_hist,24,0,0.627116752916907
reservoir_snn,24,0,0.6277843034769726
ridge_hist,28,0,0.6237862948868376
reservoir_snn,28,0,0.6222359881802317
reservoir_snn,0,1,0.14414347754112278
reservoir_snn,2,1,0.3540648504136569
reservoir_snn,4,1,0.5089713759905528
reservoir_snn,8,1,0.5912008025188225
reservoir_snn,12,1,0.6103881668806094
reservoir_snn,16,1,0.6142129762180847
reservoir_snn,20,1,0.6211344374057758
reservoir_snn,24,1,0.6311572992996469
reservoir_snn,28,1,0.6281368541533561
trained_snn,0,0,0.19449491414601394
trained_snn,2,0,0.4136983706158265
trained_snn,4,0,0.5343888130747085
trained_snn,8,0,0.6360409327035463
trained_snn,12,0,0.6427370963264541
trained_snn,16,0,0.6476315350838373
trained_snn,20,0,0.6536517211653528
trained_snn,24,0,0.6715184416200248
trained_snn,28,0,0.6771954287052433
trained_snn,0,1,0.19588140470902016
trained_snn,2,1,0.4168366265124458
trained_snn,4,1,0.5589503059945476
trained_snn,8,1,0.6319002124307991
trained_snn,12,1,0.6415393522425057
trained_snn,16,1,0.6430661196488966
trained_snn,20,1,0.6562744467932734
trained_snn,24,1,0.6724119971940428
trained_snn,28,1,0.6765716972528462
