mechanism,k_bins,seed,r2_joint
readout_lag,0,0,0.19449491414601394
readout_lag,2,0,0.4136983706158265
readout_lag,4,0,0.5343888130747085
readout_lag,8,0,0.6360409327035463
readout_lag,12,0,0.6427370963264541
readout_lag,16,0,0.6476315350838373
readout_lag,20,0,0.6536517211653528
readout_lag,24,0,0.6715184416200248
readout_lag,28,0,0.6771954287052433
readout_lag,0,1,0.19588140470902016
readout_lag,2,1,0.4168366265124458
readout_lag,4,1,0.5589503059945476
readout_lag,8,1,0.6319002124307991
readout_lag,12,1,0.6415393522425057
readout_lag,16,1,0.6430661196488966
readout_lag,20,1,0.6562744467932734
readout_lag,24,1,0.6724119971940428
readout_lag,28,1,0.6765716972528462
input_history,0,0,0.19436105000885417
input_history,2,0,0.41532295110014983
input_history,4,0,0.5399910344800306
input_history,8,0,0.5080941045883387
input_history,12,0,0.37532557200259276
input_history,16,0,0.28610431007155823
