model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
ridge,,0,0.16103215614249988,0.16308739477562384,0.16179766122244155,256787,256787,ridge trained on early half
snn,,0,0.12636864527423297,0.12525003768025278,0.1259520027579566,,,reservoir SNN trained on early half
ridge,,0,0.15448459067367815,0.14668153957079877,0.15157822488139072,256787,256787,ridge trained on late half
snn,,0,0.12370668697679521,0.0991111272787698,0.11454569438479179,,,reservoir SNN trained on late half
ridge,,0,0.16924069146231258,0.1616925031780453,0.16642925322694802,256787,256787,ridge trained on full half
snn,,0,0.13731282966662095,0.13709197074099377,0.1372305673799974,,,reservoir SNN trained on full half
ridge,,1,0.16103215614249988,0.16308739477562384,0.16179766122244155,256787,256787,ridge trained on early half
snn,,1,0.11836743928911897,0.12043395464286055,0.11913714455622082,,,reservoir SNN trained on early half
ridge,,1,0.15448459067367815,0.14668153957079877,0.15157822488139072,256787,256787,ridge trained on late half
snn,,1,0.11834494707097698,0.06424656135323537,0.09819517545023349,,,reservoir SNN trained on late half
ridge,,1,0.16924069146231258,0.1616925031780453,0.16642925322694802,256787,256787,ridge trained on full half
snn,,1,0.13150531948103505,0.12058109893396007,0.1274364263664296,,,reservoir SNN trained on full half
ridge,,2,0.16103215614249988,0.16308739477562384,0.16179766122244155,256787,256787,ridge trained on early half
snn,,2,0.1325109891332722,0.1273867760671431,0.13060239756166325,,,reservoir SNN trained on early half
ridge,,2,0.15448459067367815,0.14668153957079877,0.15157822488139072,256787,256787,ridge trained on late half
snn,,2,0.12342952574697652,0.07333262121900985,0.10477016702948205,,,reservoir SNN trained on late half
ridge,,2,0.16924069146231258,0.1616925031780453,0.16642925322694802,256787,256787,ridge trained on full half
snn,,2,0.14190147540318565,0.12681856742118736,0.13628361551362,,,reservoir SNN trained on full half
