model,event_budget,seed,r2_vx,r2_vy,r2_joint,n_events_used,n_events_total,notes
trained_snn_h4,1.0,0,0.545795028364787,0.5359931574172241,0.5421441715336814,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.5,0,0.45789748313872536,0.3500743457900025,0.41773710563052346,125107,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.25,0,0.27221465154379887,0.17547041506460914,0.23618078020335376,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.1,0,0.14240040574737234,0.061111216679882396,0.11212300332188396,21204,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,1.0,1,0.5431889774106609,0.5438049189355343,0.5434183942572686,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.5,1,0.4472404031516294,0.3496586106884296,0.4108945712679354,125107,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.25,1,0.2745339698427962,0.1874669985849895,0.24210454402391646,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.1,1,0.12416200523136056,0.06619751213609326,0.10257224275534704,21204,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,1.0,2,0.5461576715019855,0.5370272897993185,0.5427569211158493,256787,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.5,2,0.46428943883881535,0.352267649287874,0.42256520906649886,125107,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.25,2,0.27111439120276515,0.18218137716666805,0.2379899291953147,59324,256787,BPTT + fast-sigmoid surrogate
trained_snn_h4,0.1,2,0.1427117042409204,0.044268643013444686,0.10604507962609422,21204,256787,BPTT + fast-sigmoid surrogate
